lat,lon,index
1.240617754,103.613993,0
1.2439996535,103.6141718,1
1.2455470725,103.6141717,2
1.252625406,103.6135664,3
1.24351718,103.6141719,4
1.244769447,103.61417175,5
1.246047888,103.6141717,6
1.270753666,103.6193581,7
1.274335511,103.618532,8
1.291719922,103.6190737,9
1.297013971,103.6195287,10
1.272110012,103.620313,11
1.273641437,103.6204345,12
1.276605298,103.6204033,13
1.277512663,103.6206599,14
1.290096713,103.6202313,15
1.291060107,103.6201145,16
1.295898548,103.6205917,17
1.297743305,103.6209766,18
1.280752619,103.6215084,19
1.287932311,103.621877,20
1.288890191,103.6222405,21
1.27360989,103.622814,22
1.276110224,103.6224687,23
1.280865806,103.6234429,24
1.2869103275,103.62348405,25
1.287792976,103.6231334,26
1.2917275675000002,103.6234233,27
1.29463543,103.6229351,28
1.298385563,103.6224487,29
1.300811165,103.6231312,30
1.307337586,103.6233125,31
1.28662487,103.6236906,32
1.2877921015,103.62380440000001,33
1.289545408,103.6238669,34
1.2911402934999998,103.6242119,35
1.292293538,103.62416615000001,36
1.2939268755,103.624489,37
1.295330537,103.62449875,38
1.2969770545000001,103.6246058,39
1.2989073705,103.6244128,40
1.300117183,103.6243188,41
1.3012091890000002,103.6243511,42
1.303429012,103.6241805,43
1.265865147,103.6254317,44
1.279410287,103.6259817,45
1.285778737,103.6260718,46
1.286352525,103.6255427,47
1.2897680685,103.6260634,48
1.2913881759999999,103.62512605,49
1.293055643,103.62556185,50
1.2947949545,103.625486,51
1.296351519,103.62529545000001,52
1.297692348,103.62582495000001,53
1.2995098735,103.62561600000001,54
1.3006559905000001,103.62533479999999,55
1.302105536,103.6253836,56
1.303718415,103.6261975,57
1.3084586415000001,103.62579565,58
1.310271927,103.6261946,59
1.2890388769999999,103.62702035,60
1.291153293,103.62680689999999,61
1.292379663,103.627667,62
1.294506819,103.6264444,63
1.2956220964999998,103.6265014,64
1.297194276,103.6272573,65
1.2988940165,103.6270078,66
1.3000606085,103.62696034999999,67
1.3016600185,103.62719915,68
1.3031909345,103.62711795,69
1.304822355,103.626391,70
1.306459409,103.62697725000001,71
1.308147401,103.6275895,72
1.3096411035,103.62701085,73
1.311213672,103.626818,74
1.312412219,103.62663745,75
1.3139946005,103.62749245,76
1.271159464,103.6288344,77
1.2728611105,103.628004,78
1.274049135,103.6282634,79
1.29021833,103.6285679,80
1.298274988,103.6277643,81
1.299337182,103.62803965,82
1.3009427275,103.62823795,83
1.3023454815000002,103.62809785,84
1.3039422004999999,103.6282244,85
1.3056170520000001,103.62864045,86
1.306938933,103.6288405,87
1.309496094,103.6279739,88
1.3105427495,103.6283795,89
1.3116935884999998,103.62861845,90
1.313711527,103.62784625,91
1.314810756,103.62808285,92
1.3166565785,103.62860825,93
1.317973004,103.62891685,94
1.270770799,103.6303531,95
1.272262288,103.629094,96
1.273674861,103.6298155,97
1.282933837,103.628895,98
1.292254654,103.6303105,99
1.296114778,103.629504,100
1.2987886400000002,103.62971569999999,101
1.301894981,103.62907985000001,102
1.303346143,103.6295048,103
1.3048157900000001,103.62953575,104
1.3065951894999999,103.62938285,105
1.307888301,103.62951655,106
1.3093609255,103.6294953,107
1.3110011355,103.6295476,108
1.3128454944999999,103.62961555000001,109
1.314766171,103.6297514,110
1.31586686,103.6301294,111
1.3173597264999999,103.62939085,112
1.3186168285000002,103.62950674999999,113
1.3206810775000002,103.62970655000001,114
1.270037149,103.6304437,115
1.271473827,103.6311174,116
1.27281115,103.63115495,117
1.276471211,103.6307729,118
1.2775438995,103.6308108,119
1.2792133474999998,103.6310687,120
1.285889823,103.6314112,121
1.2900952005,103.63112335,122
1.2980084514999999,103.63110635000001,123
1.2990777485,103.6310204,124
1.3060376965,103.63051245,125
1.3071196625,103.63066535,126
1.308629164,103.63102085,127
1.3101298140000002,103.63091105000001,128
1.3117967885000001,103.63098295,129
1.3132167175,103.6309796,130
1.315093201,103.6317525,131
1.316297109,103.6302839,132
1.3181054395,103.63097905000001,133
1.319593473,103.631541,134
1.322061294,103.6307544,135
1.324168472,103.6314711,136
1.327219108,103.6309677,137
1.269639032,103.6319413,138
1.270658966,103.63255795,139
1.271460564,103.6326157,140
1.273200003,103.6324386,141
1.2747181040000002,103.63206835,142
1.276759151,103.63238305,143
1.2779978404999999,103.63241024999999,144
1.279614735,103.6321535,145
1.2882163385,103.63222830000001,146
1.291008415,103.6322903,147
1.291803631,103.6324419,148
1.294012433,103.63245865,149
1.295241617,103.63289855,150
1.297451912,103.6322164,151
1.298369681,103.63189785,152
1.3029018045,103.63218835,153
1.309711546,103.6321331,154
1.3110605425,103.63212515000001,155
1.312376234,103.632451,156
1.314257729,103.6320196,157
1.3174704215,103.6324625,158
1.3185015805,103.63239855,159
1.320620172,103.6318832,160
